SUBCAT,DESCRICAO
V640,Occupant of a heavy transport vehicle injured in collision with another heavy transport vehicle or a bus - driver injured in a non-traffic accident
V641,Occupant of a heavy transport vehicle injured in collision with another heavy transport vehicle or a bus - passenger injured in a non-traffic accident
V642,Occupant of a heavy transport vehicle injured in collision with another heavy transport vehicle or a bus - person travelling outside the vehicle injured in a non-traffic accident
V643,Occupant of a heavy transport vehicle injured in collision with another heavy transport vehicle or a bus - unspecified occupant of a heavy transport vehicle injured in a non-traffic accident
V644,Occupant of a heavy transport vehicle injured in collision with another heavy transport vehicle or a bus - person injured while getting on or off the vehicle
V645,Occupant of a heavy transport vehicle injured in collision with another heavy transport vehicle or a bus - driver [driver] injured in a traffic accident
V646,Occupant of a heavy transport vehicle injured in collision with another heavy transport vehicle or a bus - passenger injured in a traffic accident
V647,Occupant of a heavy transport vehicle injured in collision with another heavy transport vehicle or a bus - person traveling outside the vehicle injured in a traffic accident
V649,Occupant of a heavy transport vehicle injured in collision with another heavy transport vehicle or a bus - unspecified occupant of a heavy transport vehicle injured in a traffic accident
V650,Occupant of a heavy transport vehicle injured in collision with a train [train] or a railway vehicle - driver [driver] injured in a non-traffic accident
V651,Occupant of a heavy transport vehicle injured in collision with a train [train] or a railway vehicle - passenger injured in a non-traffic accident
V652,Occupant of a heavy transport vehicle injured in collision with a train [train] or a railway vehicle - person traveling outside the vehicle injured in a non-traffic accident
V653,Occupant of a heavy transport vehicle injured in collision with a train [convoy] or a railway vehicle - unspecified occupant of a heavy transport vehicle injured in a non-traffic accident
V654,Occupant of a heavy transport vehicle injured in collision with a train [train] or a railway vehicle - person injured while getting on or off the vehicle
V655,Occupant of a heavy transport vehicle injured in collision with a train [convoy] or a railway vehicle - driver [driver] injured in a traffic accident
V656,Occupant of a heavy transport vehicle injured in collision with a train [convoy] or a railway vehicle - passenger injured in a road traffic accident
V657,Occupant of a heavy transport vehicle injured in collision with a train [convoy] or a railway vehicle - person travelling outside the vehicle injured in a traffic accident
V659,Occupant of a Heavy Transport Vehicle Injured in a Collision with a Train [Convoy] or a Railway Vehicle - Unspecified Occupant of a Heavy Transport Vehicle Injured in a Road Traffic Accident
V660,Occupant of a heavy transport vehicle injured in collision with another non-motor vehicle - driver injured in a non-traffic accident
V661,Occupant of a heavy transport vehicle injured in collision with another non-motor vehicle - passenger injured in a non-traffic accident
V662,#CONNECT!
V663,Occupant of a heavy transport vehicle injured in collision with another non-motor vehicle - unspecified occupant of a heavy transport vehicle injured in a non-traffic accident
V664,Occupant of a heavy transport vehicle injured in collision with another non-motor vehicle - person injured while getting on or off the vehicle
V665,Occupant of a heavy transport vehicle injured in collision with another non-motor vehicle - driver injured in a traffic accident
V666,Occupant of a heavy transport vehicle injured in collision with another non-motorized vehicle - passenger injured in a traffic accident
V667,Occupant of a heavy transport vehicle injured in collision with another non-motorized vehicle - person traveling outside the vehicle injured in a traffic accident
V669,Occupant of a heavy transport vehicle injured in collision with another non-motor vehicle - unspecified occupant of a heavy transport vehicle injured in a traffic accident
V670,Occupant of a heavy transport vehicle injured in collision with a stationary or stationary object - driver [driver] injured in a non-traffic accident
V671,Occupant of a heavy transport vehicle injured in collision with a stationary or stationary object - passenger injured in a non-traffic accident
V672,Occupant of a heavy transport vehicle injured in collision with a stationary or stationary object - person traveling outside the vehicle injured in a non-traffic accident
V673,Occupant of a heavy transport vehicle injured in collision with a stationary or stationary object - unspecified occupant of a heavy transport vehicle injured in a non-traffic accident
V674,Occupant of a heavy transport vehicle injured in collision with a stationary or stationary object - person injured while getting on or off the vehicle
V675,Occupant of a heavy transport vehicle injured in collision with a stationary or stationary object - driver [driver] injured in a road traffic accident
V676,Occupant of a heavy transport vehicle injured in collision with a stationary or stationary object - passenger injured in a road traffic accident
V677,Occupant of a heavy transport vehicle injured in collision with a stationary or stationary object - person traveling outside the vehicle injured in a traffic accident
V679,Occupant of a heavy transport vehicle injured in collision with a fixed or stationary object - unspecified occupant of a heavy transport vehicle injured in a traffic accident
V680,Occupant of a Heavy Transport Vehicle Injured in a Non-Collision Transport Accident - Driver [Driver] Injured in a Non-Traffic Accident
V681,Occupant of a heavy transport vehicle injured in a non-collision transport accident - passenger injured in a non-traffic accident
V682,Occupant of a heavy transport vehicle injured in a non-collision transport accident - person travelling outside the vehicle injured in a non-traffic accident
V683,Occupant of a Heavy Transport Vehicle Injured in a Non-Collision Transport Accident - Unspecified Occupant of a Heavy Transport Vehicle Injured in a Non-Traffic Accident
V684,Occupant of a heavy transport vehicle traumatized in a non-collision transport accident - person injured while getting on or off the vehicle
V685,Occupant of a Heavy Haul Vehicle Traumatized in a Non-Collision Transport Accident - Driver [Driver] Traumatized in a Road Traffic Accident
V686,Occupant of a heavy transport vehicle traumatized in a non-collision transport accident - passenger traumatized in a traffic accident
V687,Occupant of a heavy transport vehicle traumatized in a non-collision transport accident - person traveling on the exterior of the vehicle injured in a traffic accident
V689,Occupant of a Heavy Transport Vehicle Injured in a Non-Collision Transport Accident - Unspecified Occupant of a Heavy Transport Vehicle Injured in a Road Traffic Accident
V690,Driver injured in collision with other vehicles and with unspecified motor vehicles in a non-traffic accident
V691,Passenger injured in collision with other vehicles and with unspecified motor vehicles in a non-traffic accident
V692,Unspecified occupant of a heavy transport vehicle injured in collision with other vehicles and with unspecified motor vehicles in a non-traffic accident
V693,Occupant of a heavy haul vehicle injured in an unspecified non-traffic accident
V694,Driver [driver] injured in collision with other vehicles and with unspecified motor vehicles in a traffic accident
V695,Passenger injured in collision with other vehicles and with unspecified motor vehicles in a traffic accident
V696,Unspecified occupant of a heavy transport vehicle injured in collision with other vehicles and with unspecified motor vehicles in a traffic accident
V698,Occupant [any] of a heavy transport vehicle injured in other specified transport accidents
V699,Occupant [any] of a heavy haul vehicle injured in an unspecified road traffic accident
V700,Occupant of a bus injured in collision with a pedestrian or an animal - driver [driver] injured in a non-traffic accident
V701,Occupant of a bus injured in collision with a pedestrian or an animal - passenger traumatized in a non-traffic accident
V702,Occupant of a bus injured in collision with a pedestrian or an animal - person traveling outside the vehicle injured in a non-traffic accident
V703,Occupant of a bus injured in collision with a pedestrian or an animal - unspecified occupant of a bus injured in a non-traffic accident
V704,#CONNECT!
V705,Occupant of a bus traumatized in collision with a pedestrian or an animal - driver [driver] traumatized in a traffic accident
V706,Occupant of a bus traumatized in collision with a pedestrian or an animal - passenger traumatized in a traffic accident
V707,Occupant of a bus injured in collision with a pedestrian or an animal - person traveling outside the vehicle traumatized in a traffic accident
V709,Occupant of a bus injured in collision with a pedestrian or an animal - unspecified occupant of a bus traumatized in a road traffic accident
V710,Occupant of a bus injured in collision with a pedal vehicle - driver injured in a non-traffic accident
V711,Occupant of a bus injured in collision with a pedal vehicle - passenger injured in a non-traffic accident
V712,Occupant of a bus injured in collision with a pedal vehicle - person traveling outside the vehicle traumatized in a non-traffic accident
V713,Occupant of a bus injured in collision with a pedal vehicle - unspecified occupant of a bus injured in a non-traffic accident
V714,Occupant of a bus injured in collision with a pedal vehicle - person injured while getting on or off the vehicle
V715,Occupant of a bus injured in collision with a pedal vehicle - driver [driver] traumatized in a traffic accident
V716,Occupant of a bus injured in collision with a pedal vehicle - passenger injured in a traffic accident
V717,Occupant of a bus traumatized in collision with a pedal vehicle - person traveling outside the vehicle traumatized in a traffic accident
V719,Occupant of a bus injured in collision with a pedal vehicle - unspecified occupant of a bus injured in a traffic accident
V720,Occupant of a bus injured in collision with another two- or three-wheeled motor vehicle - driver injured in a non-traffic accident
V721,Occupant of a bus injured in collision with another two- or three-wheeled motor vehicle - passenger injured in a non-traffic accident
V722,Occupant of a bus injured in collision with another two- or three-wheeled motor vehicle - person travelling outside the vehicle injured in a non-traffic accident
V723,Occupant of a bus injured in collision with another two- or three-wheeled motor vehicle - unspecified occupant of a bus injured in a non-traffic accident
V724,Occupant of a bus injured in collision with another two- or three-wheeled motor vehicle - person injured while getting on or off the vehicle
V725,Occupant of a bus injured in collision with another two- or three-wheeled motor vehicle - driver injured in a traffic accident
V726,Occupant of a bus injured in collision with another two- or three-wheeled motor vehicle - passenger injured in a traffic accident
V727,Occupant of a bus injured in collision with another two- or three-wheeled motor vehicle - person traveling outside the vehicle injured in a traffic accident
V729,Occupant of a bus injured in collision with another two- or three-wheeled motor vehicle - unspecified occupant of a bus injured in a traffic accident
V730,Occupant of a bus injured in collision with an automobile [car] or a pickup truck - driver [driver] injured in a non-traffic accident
V731,Occupant of a bus injured in collision with an automobile [car] or a pickup truck - passenger injured in a non-traffic accident
V732,Occupant of a bus injured in collision with an automobile [car] or a pickup truck - person traveling outside the vehicle traumatized in a non-traffic accident
V733,Occupant of a bus injured in collision with an automobile [car] or a pickup truck - unspecified occupant of a bus traumatized in a non-traffic accident
V734,Occupant of a bus injured in collision with an automobile [car] or a pickup truck - person traumatized while getting on or off the vehicle
V735,Occupant of a bus injured in collision with an automobile [car] or a pickup truck - driver [driver] traumatized in a traffic accident
V736,Occupant of a bus traumatized in collision with an automobile [car] or a pickup truck - passenger traumatized in a traffic accident
V737,Occupant of a bus injured in collision with an automobile [car] or a pickup truck - person traveling outside the vehicle traumatized in a traffic accident
V739,Occupant of a bus injured in collision with an automobile [car] or a pickup truck - unspecified occupant of a bus traumatized in a traffic accident
V740,Occupant of a bus injured in collision with a heavy transport vehicle or a bus - driver [driver] injured in a non-traffic accident
V741,Occupant of a bus injured in collision with a heavy transport vehicle or a bus - passenger injured in a non-traffic accident
V742,Occupant of a bus injured in collision with a heavy transport vehicle or a bus - person traveling outside the vehicle injured in a non-traffic accident
V743,Occupant of a bus injured in collision with a heavy transport vehicle or a bus - unspecified occupant of a bus injured in a non-traffic accident
V744,Occupant of a bus injured in collision with a heavy transport vehicle or a bus - person injured while getting on or off the vehicle
V745,Occupant of a bus injured in collision with a heavy transport vehicle or a bus - driver [driver] injured in a traffic accident
V746,Occupant of a bus injured in collision with a heavy transport vehicle or a bus - passenger traumatized in a traffic accident
V747,Occupant of a bus injured in collision with a heavy transport vehicle or a bus - person traveling outside the vehicle injured in a traffic accident
V749,Occupant of a bus injured in collision with a heavy transport vehicle or a bus - unspecified occupant of a bus injured in a traffic accident
V750,Occupant of a bus injured in collision with a train [convoy] or a railway vehicle - driver [driver] injured in a non-traffic accident
V751,Occupant of a bus injured in collision with a train [convoy] or a railway vehicle - passenger injured in a non-traffic accident
V752,Occupant of a bus injured in collision with a train [convoy] or a railway vehicle - person traveling outside the vehicle injured in a non-traffic accident
V753,Occupant of a bus injured in a collision with a train [convoy] or a railway vehicle - unspecified occupant of a bus injured in a non-traffic accident
V754,Occupant of a bus injured in collision with a train [convoy] or a railway vehicle - person injured while getting on or off the vehicle
V755,Occupant of a bus injured in collision with a train [convoy] or a railway vehicle - driver [driver] injured in a traffic accident
V756,Occupant of a bus injured in collision with a train [convoy] or a railway vehicle - passenger injured in a traffic accident
V757,Occupant of a bus injured in collision with a train [convoy] or a railway vehicle - person travelling outside the vehicle traumatised in a road traffic accident
V759,Occupant of a bus injured in collision with a train [convoy] or a railway vehicle - unspecified occupant of a bus injured in a traffic accident
V760,Occupant of a bus injured in collision with another non-motor vehicle - driver [driver] injured in a non-traffic accident
V761,Occupant of a bus injured in collision with another non-motor vehicle - passenger injured in a non-traffic accident
V762,Occupant of a bus injured in collision with another non-motorized vehicle - person traveling outside the vehicle injured in a non-traffic accident
V763,Occupant of a bus injured in collision with another non-motor vehicle - unspecified occupant of a bus injured in a non-traffic accident
V764,Occupant of a bus injured in collision with another non-motorized vehicle - person injured while getting on or off the vehicle
V765,Occupant of a bus injured in collision with another non-motor vehicle - driver [driver] injured in a traffic accident
V766,Occupant of a bus injured in collision with another non-motorized vehicle - passenger injured in a traffic accident
V767,Occupant of a bus injured in collision with another non-motorized vehicle - person traveling outside the vehicle injured in a traffic accident
V769,Occupant of a bus injured in collision with another non-motor vehicle - unspecified occupant of a bus injured in a road traffic accident
V770,Occupant of a bus injured in collision with a stationary or stationary object - driver [driver] injured in a non-traffic accident
V771,Occupant of a bus injured in collision with a stationary or stationary object - passenger injured in a non-traffic accident
V772,Occupant of a bus injured in collision with a stationary or stationary object - person traveling outside the vehicle injured in a non-traffic accident
V773,Occupant of a bus injured in collision with a stationary or stationary object - unspecified occupant of a bus injured in a non-traffic accident
V774,Occupant of a bus injured in collision with a stationary or stationary object - person injured while getting on or off the vehicle
V775,Occupant of a bus injured in collision with a stationary or stationary object - driver [driver] injured in a traffic accident
V776,Occupant of a bus injured in collision with a stationary or stationary object - passenger injured in a traffic accident
V777,Occupant of a bus injured in collision with a stationary or stationary object - person traveling outside the vehicle injured in a traffic accident
V779,Occupant of a bus injured in collision with a stationary or stationary object - unspecified occupant of a bus injured in a road traffic accident
V780,Occupant of a bus injured in a non-collision transport accident - driver [driver] injured in a non-traffic accident
V781,Occupant of a bus injured in a non-collision transport accident - passenger injured in a non-traffic accident
V782,Occupant of a bus injured in a non-collision transport accident - person travelling outside the vehicle traumatised in a non-traffic accident
V783,Occupant of a bus injured in a non-collision transport accident - unspecified occupant of a bus traumatised in a non-traffic accident
V784,Occupant of a bus injured in a non-collision transport accident - person injured while getting on or off the vehicle
V785,Occupant of a Bus Injured in a Non-Collision Transport Accident - Driver [Driver] Traumatized in a Road Traffic Accident
V786,Occupant of a bus traumatized in a transport accident without collision - passenger traumatized in a traffic accident
V787,Occupant of a bus traumatized in a non-collision transport accident - person traveling outside the vehicle traumatized in a traffic accident
V789,Occupant of a bus injured in a non-collision transport accident - unspecified occupant of a bus traumatised in a traffic accident
V790,Driver injured in collision with other vehicles and with unspecified motor vehicles in a non-traffic accident
V791,Passenger injured in collision with other vehicles and with unspecified motor vehicles in a non-traffic accident
V792,Unspecified occupant of a bus injured in collision with other vehicles and with an unspecified motor vehicle in a non-traffic accident
V793,Occupant of a bus traumatized in a non-traffic accident
V794,Driver [driver] injured in collision with other vehicles and with unspecified motor vehicles in a traffic accident
V795,Passenger injured in collision with other vehicles and with unspecified motor vehicles in a traffic accident
V796,Unspecified occupant of a bus injured in collision with another vehicle and an unspecified motor vehicle in a traffic accident
V798,Occupant [any] of a bus traumatized in other specified transport accidents
V799,Occupant [any] of a bus injured in an unspecified traffic accident
V800,Fall or ejection of a person mounted on an animal or occupant of an animal-drawn vehicle in a non-collision accident
V801,Person riding an animal or occupant of an animal-drawn vehicle injured in a collision with a pedestrian or an animal
V802,Person riding an animal or occupant of a tractor-drawn animal injured in a collision with a pedal vehicle
V803,Person riding an animal or occupant of an animal-drawn vehicle injured in a collision with a two- or three-wheeled motor vehicle
V804,"Person riding an animal or occupant of an animal-drawn vehicle injured in a collision with an automobile [car], a pickup truck, a heavy transport vehicle or a bus"
V805,Person riding an animal or occupant of an animal-drawn vehicle injured in a collision with another specified motor vehicle
V806,Person riding an animal or occupant of an animal-drawn vehicle injured in a collision with a train or a railway vehicle
V807,Person riding an animal or occupant of a tractor-drawn vehicle injured in a collision with another non-motorized vehicle
V808,Person mounted on an animal or occupant of an animal-drawn vehicle injured in a collision with a stationary or stationary object
V809,Person riding an animal or occupant of a tractor-drawn animal injured in other transport accidents and in unspecified transport accidents
V810,Occupant of a train or railway vehicle injured in a collision with a motor vehicle in a non-traffic accident
V811,Occupant of a train or railway vehicle injured in a collision with a motor vehicle in a traffic accident
V812,Occupant of a train or railway vehicle injured in a collision with or struck by undercarriage
V813,Occupant of a train or railway vehicle traumatized in collision with another object
V814,A person who is traumatized while getting on or off a train or a railway vehicle
V815,Occupant of a train or railway vehicle injured by a fall inside the train
V816,Occupant of a train or railway vehicle injured by a fall from the train or railway vehicle
V817,Occupant of a train or railway vehicle injured by a previous non-collision derailment
V818,Occupant of a train or railway vehicle injured in another specified railway accident
V819,Occupant of a train or railway vehicle injured in an unspecified railway accident
V820,Occupant of a tram [electric car] injured in a collision with a motor vehicle in a non-traffic accident
V821,Occupant of a tram [electric car] injured in a collision with a motor vehicle in a traffic accident
V822,Occupant of a tram [electric car] injured in a collision with or struck by undercarriage
V823,Occupant of a tram [electric car] traumatized in a collision with another object
V824,Person traumatized when getting on or off a tram [electric car]
V825,Occupant of a tram [electric car] injured due to a fall inside the tram
V826,Occupant of a tram [electric car] traumatized due to a fall from it
V827,Occupant of a tram [electric car] injured due to a derailment without a previous collision
V828,Occupant of a tram [electric car] injured in other specified transport accidents
V829,Occupant of a tram [electric car] traumatized in an unspecified traffic accident
V830,Driver of a special motor vehicle used mainly in industrial areas injured in a traffic accident
V831,Passenger of a special motor vehicle used mainly in industrial areas injured in a traffic accident
V832,Person traveling abroad of a special motor vehicle used mainly in industrial areas traumatized in a traffic accident
V833,Unspecified occupant of a special motor vehicle used primarily in industrial areas injured in a traffic accident
V834,Person injured while getting on or off a special motor vehicle used mainly in industrial areas
V835,Driver of a special motor vehicle used mainly in industrial areas injured in a non-traffic accident
V836,Passenger of a special motor vehicle used mainly in industrial areas injured in a non-traffic accident
V837,Person traveling abroad of a special motor vehicle used mainly in industrial areas traumatized in a non-traffic accident
V839,Unspecified occupant of a special motor vehicle used primarily in industrial areas injured in a non-traffic accident
V840,Driver of a special motor vehicle for essentially agricultural use injured in a traffic accident
V841,Passenger of a special motor vehicle for mainly agricultural use injured in a traffic accident
V842,Person traveling abroad in a special motor vehicle for essentially agricultural use injured in a traffic accident
V843,Unspecified occupant of a special motor vehicle for essentially agricultural use injured in a traffic accident
V844,Person injured while getting on or off a special motor vehicle for mainly agricultural use
V845,Driver of a special motor vehicle for mainly agricultural use injured in a non-traffic accident
V846,Passenger of a special motor vehicle for mainly agricultural use injured in a non-traffic accident
V847,Person traveling abroad in a special motor vehicle for mainly agricultural use injured in a non-traffic accident
V849,Unspecified occupant of a special motor vehicle for primarily agricultural use injured in a non-traffic accident
V850,Driver of a special construction motor vehicle injured in a traffic accident
V851,Passenger of a special construction motor vehicle injured in a traffic accident
V852,Person traveling outside of a special construction motor vehicle traumatized in a traffic accident
V853,Unspecified occupant of a special construction motor vehicle injured in a traffic accident
V854,Person injured while getting on or off a special construction motor vehicle
V855,Driver of a special construction motor vehicle injured in a non-traffic accident
V856,Passenger of a special construction motor vehicle injured in a non-traffic accident
V857,Person traveling outside of a special motor vehicle of constructions traumatized in a non-traffic accident
V859,Unspecified occupant of a special construction motor vehicle injured in a non-traffic accident
V860,"Driver of an all-terrain special vehicle or other motor vehicle designed primarily for use not on public roads, injured in a traffic accident"
V861,"Passenger of an all-terrain special vehicle or other motor vehicle designed essentially for use not on public roads, traumatized in a traffic accident"
V862,"A person traveling outside of an all-terrain special vehicle or other motor vehicle designed essentially for use not on a public road, traumatized in a traffic accident"
V863,Unspecified occupant of an all-terrain special vehicle or other motor vehicle designed primarily for non-road use injured in a traffic accident
V864,Person injured while getting on or off a special all-terrain vehicle or another motor vehicle designed primarily for use not on public roads
V865,Driver of an all-terrain special vehicle or other motor vehicle designed primarily for non-road use injured in a non-traffic accident
V866,Passenger of an all-terrain special vehicle or other motor vehicle designed primarily for non-road use injured in a non-traffic accident
V867,A person traveling outside of an all-terrain special vehicle or other motor vehicle designed primarily for use not on a public highway injured in a non-traffic accident
V869,Unspecified occupant of an all-terrain special vehicle or other motor vehicle designed primarily for non-road use injured in a non-traffic accident
V870,Person injured in a collision between an automobile [car] and a two- or three-wheeled motor vehicle (traffic accident)
V871,Person injured in a collision between another motor vehicle and a two- or three-wheeled motor vehicle (traffic accident)
V872,Person injured in a collision between a car and a pickup truck (traffic accident)
V873,Person traumatized in a collision between a car [car] and a bus (traffic accident)
V874,Person injured in a collision between an automobile [car] and a heavy transport vehicle (traffic accident)
V875,Person injured in a collision between a heavy transport vehicle and a bus (traffic accident)
V876,Person injured in a collision between a train or a railway vehicle and an automobile [car] (traffic accident)
V877,Person injured in a collision between other specified motor vehicles (traffic accident)
V878,"Person injured in other specified motor vehicle accidents, without collision (traffic accident)"
V879,Person injured in other specified transport accidents (with collision) (without collision) involving a non-motor vehicle (traffic accident)
V880,"A person injured in a collision between an automobile [car] and a two- or three-wheeled, non-transit motor vehicle"
V881,"Person injured in a collision between another motor vehicle and a two- or three-wheeled, non-transit motor vehicle"
V882,"Person Traumatized in a Collision Between an Automobile [Car] and a Pickup Truck, Non-Transit"
V883,"Person traumatized in a collision between a car and a bus, non-traffic"
V884,"Person injured in a collision between an automobile [car] and a heavy, non-transit transport vehicle"
V885,Person injured in a collision between a heavy transport vehicle and a non-transit bus
V886,"A person injured in a collision between a train or a railway vehicle and an automobile [car], non-transit"
V887,Person injured in a collision between other specified non-transit motor vehicles
V888,"Person injured in other specified traffic accidents, with a motor vehicle, non-collision, non-traffic"
V889,"Person injured in other specified traffic accident (with collision) (non-collision), involving a non-motorized, non-transit vehicle"
V890,"Person injured in an accident with an unspecified, non-transit motor vehicle"
V891,"Person injured in an accident with a non-motorized, unspecified, non-traffic vehicle"
V892,Person injured in a road traffic accident with an unspecified motor vehicle
V893,"Person injured in a traffic accident with a non-motorized vehicle, unspecified"
V899,Person injured in an accident with an unspecified vehicle
V900,Vessel accident causing drowning and submersion - merchant ship
V901,Vessel accident causing drowning and submersion - passenger ship
V902,Watercraft accident causing drowning and submersion - fishing boat
V903,Vessel accident causing drowning and submersion - other motor craft
V904,Watercraft accident causing drowning and submersion - sailing boat
V905,Boat accident causing drowning and submersion - kayak or canoe
V906,Boat accident causing drowning and submersion - inflatable dinghy (no motor)
V907,Watercraft accident causing drowning and submersion - water skiing
V908,Vessel accident causing drowning and submersion - other non-powered vessels
V909,Vessel accident causing drowning and submersion - vessel not specified
V910,Vessel accident causing other type of trauma - merchant ship
V911,Boat accident causing other type of trauma - passenger ship
V912,Boat accident causing other type of trauma - fishing boat
V913,Boat accident causing other type of trauma - other motor vessels
V914,Boat accident causing another type of trauma - sailing boat
V915,Boat accident causing another type of trauma - kayak or canoe
V916,Boat accident causing other type of trauma - inflatable dinghy (no motor)
V917,Boat accident causing another type of trauma - water skiing
V918,Boat accident causing other type of trauma - other non-powered vessels
V919,Boat accident causing other type of trauma - unspecified vessel
V920,Drowning and submersion related to water transport without vessel accident - merchant ship
V921,Drowning and submersion related to water transport without accident to the vessel - passenger ship
V922,Drowning and submersion related to water transport without accident with the vessel - fishing boat
V923,Drowning and submersion related to water transport without vessel accident - other motor vessels
V924,Drowning and submersion related to transport by water without accident with the vessel - sailing boat
V925,Drowning and submersion related to transport by water without accident with the vessel - kayak or canoe
V926,Drowning and submersion related to water transport without accident with the vessel - inflatable dinghy (without motor)
V927,Drowning and submersion related to water transport without accident with the vessel - water skiing
V928,Drowning and submersion related to water transport without accident with the vessel - other non-powered vessels
V929,Drowning and submersion related to transport by water without accident to the vessel - vessel not specified
V930,"Accident on board a vessel, without accident of the vessel and not causing drowning or submersion - merchant ship"
V931,"Accident on board a vessel, without accident of the vessel and not causing drowning or submersion - passenger ship"
V932,"Accident on board a vessel, without accident of the vessel and not causing drowning or submersion - fishing boat"
V933,"Accident on board a vessel, without accident of the vessel and not causing drowning or submersion - other motor vessels"
V934,"Accident on board a vessel, without accident of the vessel and not causing drowning or submersion - sailing boat"
V935,"Accident on board a vessel, without accident of the vessel and not causing drowning or submersion - kayak or canoe"
V936,"Accident on board a vessel, without accident of the vessel and not causing drowning or submersion - inflatable dinghy (without motor)"
V937,"Accident on board a vessel, without accident of the vessel and not causing drowning or submersion - water skiing"
V938,"Accident on board a vessel, without accident of the vessel and not causing drowning or submersion - other unpowered vessels"
V939,"Accident on board a vessel, without accident of the vessel and not causing drowning or submersion - vessel not specified"
V940,Other water transport and unspecified accidents - merchant ship
V941,Other water transport and unspecified accidents - passenger ship
V942,Other water transport and unspecified accidents - fishing boat
V943,Other water transport and unspecified accidents - other motor vessels
V944,Other water transport and unspecified accidents - sailing boat
V945,Other water transport accidents and those not specified - kayak or canoe
V946,Other water transport accidents and those not specified - inflatable dinghy (without motor)
V947,Other water transport accidents and those not specified - water skiing
V948,Other water transport and unspecified accidents - other non-powered vessels
V949,Other water transport accidents and unspecified - vessel not specified
V950,Helicopter crash causing trauma to occupant
V951,Motorized and ultralight glider accident causing trauma to occupant
V952,Accident of another private-use fixed-wing aircraft causing trauma to the occupant
V953,Accident of commercial fixed-wing aircraft causing trauma to occupant
V954,Spacecraft crash causing trauma to occupant
V958,Other aircraft accidents causing trauma to occupant
V959,Unspecified aircraft accident causing trauma to occupant
V960,Balloon accident causing trauma to occupant
V961,Hang gliding accident causing trauma to occupant
V962,Glider accident (non-motorized) causing trauma to occupant
V968,Other accidents of non-powered aircraft causing trauma to occupant
V969,Unspecified accident of non-powered aircraft causing trauma to occupant
V970,Occupant of an aircraft injured in other specified air transport accidents
V971,Person traumatized while boarding or disembarking an aircraft
V972,Paratrooper traumatized in air transport accident
V973,Person on the ground traumatized in air transport accident
V978,Other air transport accidents not elsewhere classified
V98,Other specified transport accidents
V99,Unspecified Transport Accident
W000,Fall at the same level involving ice and snow - residence
W001,Fall at the same level involving ice and snow - collective housing
W002,"Fall at the same level involving ice and snow - schools, other institutions and areas of public administration"
W003,Fall at the same level involving ice and snow - area for sports and athletics
W004,Fall at the same level involving ice and snow - street and road
W005,Fall at the same level involving ice and snow - commercial and service areas
W006,Fall at the same level involving ice and snow - industrial and construction areas
W007,Drop at the same level involving ice and snow - farm
W008,Fall at the same level involving ice and snow - other specified locations
W009,Fall at the same level involving ice and snow - location unspecified
W010,"Fall at the same level by slipping, tripping or false steps [frets] - residence"
W011,"Fall at the same level by slipping, tripping or false steps [frets] - collective housing"
W012,"Fall to the same level by slipping, tripping or false steps - schools, other institutions and areas of public administration"
W013,"Fall at the same level by slipping, tripping or false steps [frets] - area for the practice of sports and athletics"
W014,"Fall at the same level by slipping, tripping or false steps - street and road"
W015,"Fall at the same level by slipping, tripping or false steps [trespasses] - commercial and service areas"
W016,"Fall at the same level by slipping, tripping or false steps [footsteps] - industrial and construction areas"
W017,"Fall at the same level by slipping, tripping or false steps [frets] - farm"
W018,"Fall at the same level by slipping, tripping or false steps [feet] - other specified locations"
W019,"Fall at the same level by slipping, tripping or false steps [frets] - location not specified"
W020,"Fall involving roller skates or for ice, skiing or wheeled boards - residence"
W021,"Fall involving roller skates or for ice, skiing or wheeled boards - collective housing"
W022,"Falling involving roller skates or ice skates, skiing or wheeled boards - schools, other institutions and areas of public administration"
W023,"Fall involving roller skates or ice skates, skiing or wheeled boards - area for sports and athletics"
W024,"Fall involving roller skates or for ice, skiing or wheeled boards - street and road"
W025,"Falls involving roller skates or ice skates, skiing or wheeled boards - commercial and service areas"
W026,"Falling involving roller skates or for ice, skiing or wheeled boards - industrial and construction areas"
W027,"Fall involving roller skates or for ice, skiing or wheeled boards - farm"
W028,"Fall involving roller skates or for ice, skiing or wheeled boards - other specified locations"
W029,"Fall involving roller skates or for ice, skiing or wheeled boards - location not specified"
W030,Other falls at the same level by collision with or push by another person - residence
W031,Other falls to the same level by collision with or push by another person - collective housing
W032,"Other falls to the same level by collision with or push by another person - schools, other institutions and areas of public administration"
W033,Other falls at the same level by collision with or push by another person - area for sports and athletics
W034,Other falls at the same level by collision with or push by another person - street and road
W035,Other falls at the same level by collision with or push by another person - commercial and service areas
W036,Other falls to the same level by collision with or push by another person - industrial and under construction areas
W037,Other falls to the same level by collision with or push by another person - farm
W038,Other falls to the same level by collision with or push by another person - other specified locations
W039,Other falls to the same level by collision with or push by another person - location not specified
W040,"Fall, while being carried or supported by other person(s) - residence"
W041,"Falling, while being carried or supported by other person(s) - collective housing"
W042,"Falling, while being carried or supported by other person(s) - schools, other institutions, and areas of public administration"
W043,"Falling, while being carried or supported by other person(s) - area for sports and athletics"
W044,"Falling, while being carried or supported by other person(s) - street and road"
W045,"Falling, while being carried or supported by other person(s) - commercial and service areas"
W046,"Falling, while being carried or supported by other person(s) - industrial and under construction areas"
W047,"Fall, while being carried or supported by other person(s) - farm"
